Quarter,Units
2010-Q1,94.24
2010-Q2,99.81
2010-Q3,99.40
2010-Q4,106.63
2011-Q1,115.99
2011-Q2,119.44
2011-Q3,125.48
2011-Q4,134.10
2012-Q1,142.63
2012-Q2,147.10
2012-Q3,156.97
2012-Q4,160.84
2013-Q1,162.28
2013-Q2,169.24
2013-Q3,172.81
2013-Q4,180.49
2014-Q1,188.04
2014-Q2,193.05
2014-Q3,202.04
2014-Q4,212.10
2015-Q1,215.31
2015-Q2,218.19
2015-Q3,221.71
2015-Q4,219.14
2016-Q1,231.09
2016-Q2,234.89
2016-Q3,240.16
2016-Q4,242.00
2017-Q1,251.20
2017-Q2,252.36
2017-Q3,257.51
2017-Q4,258.23
2018-Q1,264.58
2018-Q2,266.74
2018-Q3,270.72
2018-Q4,267.55
2019-Q1,273.68
2019-Q2,275.41
2019-Q3,278.77
2019-Q4,278.08
2020-Q1,281.43
2020-Q2,278.45
2020-Q3,284.88
2020-Q4,285.47
2021-Q1,286.98
2021-Q2,285.08
2021-Q3,293.79
2021-Q4,290.60
2022-Q1,296.61
2022-Q2,298.03
2022-Q3,302.04
2022-Q4,303.91
2023-Q1,311.88
2023-Q2,308.60
2023-Q3,313.55
2023-Q4,316.33
2024-Q1,322.18
2024-Q2,322.00
2024-Q3,323.26
